R	3.0830	1.5351	1.2425	1477010443550000	-0.0431	3.2476	-0.1564	0.9877
R	3.7367	1.6199	1.2129	1477010444350000	-0.2717	4.0121	-0.3971	0.9178
R	4.8869	1.7570	1.1566	1477010445150000	-0.6833	4.6957	-0.6129	0.7902
R	5.9929	1.8172	0.9371	1477010445950000	-1.2519	5.2554	-0.7902	0.6129
R	6.8701	1.9047	0.6217	1477010446750000	-1.9418	5.6562	-0.9178	0.3971
R	6.5931	1.9496	0.5992	1477010447550000	-2.7098	5.8728	-0.9877	0.1564
R	7.2951	2.1635	-0.2159	1477010448350000	-3.5075	5.8916	-0.9956	-0.0941
R	6.8327	2.2227	0.7561	1477010449150000	-4.2848	5.7114	-0.9409	-0.3387
R	7.6092	2.3381	-0.0852	1477010449950000	-4.9928	5.3436	-0.8271	-0.5621
R	7.5106	2.4129	0.0978	1477010450750000	-5.5872	4.8112	-0.6613	-0.7501
R	7.1659	2.5310	-0.2368	1477010451550000	-6.0305	4.1478	-0.4540	-0.8910
R	7.1892	2.6304	-0.2170	1477010452350000	-6.2949	3.3950	-0.2182	-0.9759
R	6.8338	2.8139	-0.8015	1477010453150000	-6.3637	2.6000	0.0314	-0.9995
R	6.1959	2.8718	-0.9535	1477010453950000	-6.2327	1.8130	0.2790	-0.9603
R	6.3186	2.9917	-0.6589	1477010454750000	-5.9101	1.0832	0.5090	-0.8608
R	5.1228	3.0275	-0.3169	1477010455550000	-5.4161	0.4566	0.7071	-0.7071
R	4.9479	-3.1690	-0.7412	1477010456350000	-4.7818	-0.0275	0.8607	-0.5091
R	3.9361	-3.0608	-1.5155	1477010457150000	-4.0471	-0.3386	0.9603	-0.2790
R	3.1691	-2.9827	-0.8783	1477010457950000	-3.2580	-0.4572	0.9995	-0.0314
R	2.4466	-2.9765	-1.3147	1477010458750000	-2.4643	-0.3759	0.9759	0.2181
R	1.4452	-3.0097	-1.2445	1477010459550000	-1.7157	-0.0998	0.8910	0.4540
R	1.5965	2.8194	0.0621	1477010460350000	-1.0593	0.3539	0.7501	0.6613
R	1.4661	2.1234	0.8439	1477010461150000	-0.5364	0.9565	0.5621	0.8271
R	1.4126	1.6727	0.9344	1477010461950000	-0.1797	1.6703	0.3388	0.9409
R	2.5091	1.5490	0.6871	1477010462750000	-0.0118	2.4503	0.0941	0.9956
R	3.3956	1.5332	1.6979	1477010463550000	0.0274	3.2487	0.1254	0.9921
R	3.9714	1.5396	1.3368	1477010464350000	0.2319	4.0200	0.3682	0.9298
R	4.3443	1.4186	0.6189	1477010465150000	0.6218	4.7162	0.5878	0.8090
R	5.3844	1.3661	0.5706	1477010465950000	1.1726	5.2935	0.7705	0.6374
R	6.0104	1.2814	0.1650	1477010466750000	1.8496	5.7157	0.9048	0.4258
R	6.4189	1.2102	0.4791	1477010467550000	2.6104	5.9563	0.9823	0.1874
R	6.4247	1.0699	0.5251	1477010468350000	3.4071	6.0002	0.9980	-0.0628
R	7.0287	0.9628	0.4526	1477010469150000	4.1896	5.8445	0.9510	-0.3090
R	6.8967	0.7962	0.5550	1477010469950000	4.9089	5.4991	0.8443	-0.5358
R	7.6697	0.6846	0.1739	1477010470750000	5.5197	4.9857	0.6845	-0.7290
R	7.7582	0.6031	0.2306	1477010471550000	5.9836	4.3365	0.4817	-0.8763
R	7.0944	0.5702	-0.6696	1477010472350000	6.2715	3.5924	0.2487	-0.9686
R	7.3282	0.4565	-0.0489	1477010473150000	6.3653	2.8000	0.0000	-1.0000
R	6.1398	0.3332	-0.2489	1477010473950000	6.2591	2.0092	-0.2487	-0.9686
R	6.2305	0.1981	-0.8819	1477010474750000	5.9595	1.2696	-0.4818	-0.8763
R	4.7804	0.0842	-0.3294	1477010475550000	5.4855	0.6278	-0.6846	-0.7290
R	4.9837	0.0499	-0.6972	1477010476350000	4.8667	0.1241	-0.8443	-0.5358
R	4.2631	-0.1132	-1.2492	1477010477150000	4.1421	-0.2100	-0.9511	-0.3090
R	3.8164	-0.1134	-1.2188	1477010477950000	3.3572	-0.3533	-0.9980	-0.0628
R	2.5002	-0.1106	-1.0156	1477010478750000	2.5612	-0.2970	-0.9823	0.1874
R	1.8795	-0.0307	-0.5667	1477010479550000	1.8043	-0.0445	-0.9048	0.4258
R	1.3662	0.3675	-0.3098	1477010480350000	1.1340	0.3884	-0.7705	0.6374
R	1.5140	1.0448	0.1567	1477010481150000	0.5924	0.9743	-0.5878	0.8090
R	1.7980	1.4150	0.6698	1477010481950000	0.2135	1.6765	-0.3681	0.9298
R	2.1265	1.5801	1.6089	1477010482750000	0.0212	2.4509	-0.1253	0.9921
